10711,maxcranwidth,18,19,2,38,146.37,5.44
10712,maxcranwidth,18,19,3,66,149.47,7.13
10713,minfrntwidth,18,19,2,38,103.5,6.26
10714,minfrntwidth,18,19,3,66,106.64,7.35
10715,maxfacewidth,18,19,2,32,131,4.84
10716,maxfacewidth,18,19,3,56,133.05,6.36
10717,mandwidth,18,19,2,38,95.53,7.06
10718,mandwidth,18,19,3,66,97.8,7.36
10719,maxcranlength,18,19,2,38,186.79,5.69
10720,maxcranlength,18,19,3,66,192.3,8.8
10721,cranbasewidth,18,19,2,47,139.32,5.72
10722,cranbasewidth,18,19,3,77,142.51,6.96
10723,upfacedepth_r,18,19,2,47,118.61,4.52
10724,upfacedepth_r,18,19,3,77,121.55,6.24
10725,upfacedepth_l,18,19,2,48,118.44,4.31
10726,upfacedepth_l,18,19,3,78,121.31,5.79
10727,midfacedepth_r,18,19,2,47,123.92,3.94
10728,midfacedepth_r,18,19,3,77,127.18,6.15
10729,midfacedepth_l,18,19,2,48,123.94,3.95
10730,midfacedepth_l,18,19,3,78,127.07,5.86
10731,lowfacedepth_r,18,19,2,46,138.75,4.75
10732,lowfacedepth_r,18,19,3,75,142.48,7.29
10733,lowfacedepth_l,18,19,2,47,138.36,4.92
10734,lowfacedepth_l,18,19,3,76,142.06,7.07
10735,morphfaceheight,18,19,2,47,116.34,5.56
10736,morphfaceheight,18,19,3,76,119.82,7.95
10737,upfaceheight,18,19,2,48,71.91,4.07
10738,upfaceheight,18,19,3,78,73.94,5.23
10739,lowfaceheight,18,19,2,47,64.75,4.96
10740,lowfaceheight,18,19,3,76,67.65,6.23
10741,incanthwidth,18,19,2,48,31.14,2.89
10742,incanthwidth,18,19,3,78,31.91,3
10743,outcanthwidth,18,19,2,48,86.18,4.22
10744,outcanthwidth,18,19,3,78,87.74,4.69
10745,palpfislength_r,18,19,2,48,28.62,2.03
10746,palpfislength_r,18,19,3,78,28.98,1.9
10747,palpfislength_l,18,19,2,48,28.14,2.07
10748,palpfislength_l,18,19,3,78,28.52,1.99
10749,nasalwidth,18,19,2,48,32.93,2.38
10750,nasalwidth,18,19,3,78,34.5,3.05
10751,subnasalwidth,18,19,2,47,17.75,2.26
10752,subnasalwidth,18,19,3,77,18.24,2.58
10753,nasalpro,18,19,2,48,20.15,2.53
10754,nasalpro,18,19,3,78,20.59,2.6
10755,nasalalalength_r,18,19,2,48,31.38,1.89
10756,nasalalalength_r,18,19,3,78,32.87,2.77
10757,nasalalalength_l,18,19,2,48,31.5,1.94
10758,nasalalalength_l,18,19,3,78,33.18,2.94
10759,nasalheight,18,19,2,48,54.33,3.72
10760,nasalheight,18,19,3,78,55.2,4.35
10761,nasalbdglength,18,19,2,48,46.27,3.79
10762,nasalbdglength,18,19,3,78,47.56,4.46
10763,labfiswidth,18,19,2,48,47.08,3.55
10764,labfiswidth,18,19,3,78,48.12,4.03
10765,philwidth,18,19,2,48,12.14,1.81
10766,philwidth,18,19,3,78,12.67,1.98
10767,phillength,18,19,2,48,12.16,2.5
10768,phillength,18,19,3,78,13.42,2.97
10769,uplipheight,18,19,2,48,18.48,2.62
10770,uplipheight,18,19,3,78,19.75,2.98
10771,lowlipheight,18,19,2,48,17.88,2.13
10772,lowlipheight,18,19,3,77,18.47,2.75
10773,upvermheight,18,19,2,48,7.64,1.4
10774,upvermheight,18,19,3,78,7.64,1.6
10775,lowvermheight,18,19,2,48,9.84,2.11
10776,lowvermheight,18,19,3,78,9.82,2.26
10777,cutlowlipheight,18,19,2,48,9.95,2.08
10778,cutlowlipheight,18,19,3,77,10.5,2.49
10779,maxcranwidth,35,37,2,57,144.12,5.41
10780,maxcranwidth,35,37,3,81,146.72,6.85
10781,minfrntwidth,35,37,2,57,104.4,8.29
10782,minfrntwidth,35,37,3,81,106.56,8.93
